ID,Stratum,landcover,alertstrata,Long,Lat,zone,x,y,pixel,line,centxUTM,centyUTM,MGRS,GlobalForestChangeYear(Hansen2013)
123,3,1,3,28.41942884,67.16739365,35,561460.3466,7450742.572,12049,51641,561465,7450755,35WNQ,0
124,5,1,5,-80.4958468,43.32878354,17,540872.9474,4797450.096,11363,150084,540885,4797465,17TNJ,0
125,4,1,4,-62.56768874,-39.91265074,20,536948.999,-4418151.818,11232,453939,536955,-4418145,20GNA,0
126,4,1,4,-97.82569655,19.01883251,14,623588.2621,2103323.996,14120,233223,623595,2103315,14QPG,0
127,2,1,2,29.62935383,-25.6048488,35,764072.157,-2834544.334,18803,394484,764085,-2834535,35JQM,0
128,5,1,5,-48.82878486,-22.43494041,22,723462.9896,-2482586.434,17449,392752,723465,-2482575,22KGA,0
129,2,1,2,77.37474755,27.64926384,43,734281.2635,3060604.426,17810,197979,734295,3060615,43RGL,0
130,2,1,2,142.937113,-28.84176953,54,688980.682,-3191996.68,16300,389733,688995,-3191985,54JXP,0
131,5,1,5,27.0175917,61.29991552,35,500942.4776,6796194.176,10032,73460,500955,6796185,35VNJ,0
132,4,1,4,39.56013384,-3.879539921,37,562187.9873,-428832.8684,12073,314294,562185,-428835,37MER,0
133,5,1,5,-100.1983267,20.70715295,14,375211.1632,2290199.478,5841,226994,375225,2290185,14QLH,0
134,5,1,5,107.2854781,34.5556539,48,709694.7642,3826141.533,16990,169129,709695,3826155,48SYD,0
135,2,1,2,-92.25021764,32.99696492,15,570044.7617,3651200.076,12335,184961,570045,3651195,15SWS,18
136,2,1,2,75.63366041,22.49140821,43,565180.1698,2487358.479,12173,217088,565185,2487345,43QEE,0
137,5,1,5,-51.98805072,-28.18782936,22,403018.6506,-3118404.496,6767,413946,403005,-3118395,22JDP,0
138,4,1,4,-92.83014899,16.09753923,15,518163.8065,1779732.136,10606,247343,518175,1779735,15PWT,0
139,5,1,5,108.2030848,28.02283796,49,224996.8026,3102887.419,833,189904,224985,3102885,49RBM,0
140,3,1,3,116.7227286,34.52721706,50,474553.8262,3820650.174,9152,155978,474555,3820665,50SMD,0
