granuleID,SensingTime,VEG-IND,VEG-ANOM,VBaseline,VBaselineCount,NDVI,NDVIbaseline
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230809T141459Z_20231221T044102Z_L8_30_v1_VEG-DIST-STATUS,20230809,255,255,7,0,23,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230813T142721Z_20231221T044113Z_S2A_30_v1_VEG-DIST-STATUS,20230813,255,255,7,0,22,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230815T141719Z_20231221T044124Z_S2B_30_v1_VEG-DIST-STATUS,20230815,255,255,7,0,25,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230816T142115Z_20231221T044135Z_L8_30_v1_VEG-DIST-STATUS,20230816,14,0,7,0,21,0
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230820T141721Z_20231221T044147Z_S2A_30_v1_VEG-DIST-STATUS,20230820,10,0,7,0,22,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230824T142111Z_20231221T044158Z_L9_30_v1_VEG-DIST-STATUS,20230824,19,0,7,0,23,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230825T141508Z_20231221T044210Z_L8_30_v1_VEG-DIST-STATUS,20230825,255,255,7,0,26,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230825T141719Z_20231221T044222Z_S2B_30_v1_VEG-DIST-STATUS,20230825,255,255,7,0,26,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230828T142719Z_20231221T044233Z_S2B_30_v1_VEG-DIST-STATUS,20230828,255,255,7,0,23,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230830T141721Z_20231221T044244Z_S2A_30_v1_VEG-DIST-STATUS,20230830,9,0,7,0,24,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230901T142118Z_20231221T044256Z_L8_30_v1_VEG-DIST-STATUS,20230901,255,255,7,0,22,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230902T141505Z_20231221T044307Z_L9_30_v1_VEG-DIST-STATUS,20230902,255,255,7,0,23,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230902T142721Z_20231221T044318Z_S2A_30_v1_VEG-DIST-STATUS,20230902,255,255,7,0,23,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230907T142719Z_20231221T044329Z_S2B_30_v1_VEG-DIST-STATUS,20230907,255,255,8,0,23,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230909T141721Z_20231221T044341Z_S2A_30_v1_VEG-DIST-STATUS,20230909,10,0,8,0,24,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230909T142121Z_20231221T044352Z_L9_30_v1_VEG-DIST-STATUS,20230909,11,0,8,0,24,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230910T141508Z_20231221T044403Z_L8_30_v1_VEG-DIST-STATUS,20230910,255,255,9,0,22,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230912T142721Z_20231221T044414Z_S2A_30_v1_VEG-DIST-STATUS,20230912,255,255,9,0,23,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230914T141739Z_20231221T044425Z_S2B_30_v1_VEG-DIST-STATUS,20230914,255,255,9,0,24,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230917T142123Z_20231221T044437Z_L8_30_v1_VEG-DIST-STATUS,20230917,13,0,9,0,22,0
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230917T142719Z_20231221T044448Z_S2B_30_v1_VEG-DIST-STATUS,20230917,255,255,9,0,22,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230918T141512Z_20231221T044459Z_L9_30_v1_VEG-DIST-STATUS,20230918,255,255,9,0,22,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230919T141711Z_20231221T044510Z_S2A_30_v1_VEG-DIST-STATUS,20230919,11,0,9,0,24,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230922T142711Z_20231221T044521Z_S2A_30_v1_VEG-DIST-STATUS,20230922,255,255,9,0,21,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230925T142120Z_20231221T044532Z_L9_30_v1_VEG-DIST-STATUS,20230925,255,255,10,0,22,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230926T141514Z_20231221T044543Z_L8_30_v1_VEG-DIST-STATUS,20230926,12,0,10,0,22,0
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230927T142719Z_20231221T044554Z_S2B_30_v1_VEG-DIST-STATUS,20230927,255,255,10,0,21,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230929T141711Z_20231221T044605Z_S2A_30_v1_VEG-DIST-STATUS,20230929,10,0,10,0,22,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20231002T142711Z_20231221T044616Z_S2A_30_v1_VEG-DIST-STATUS,20231002,255,255,10,0,18,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20231003T142126Z_20231221T044627Z_L8_30_v1_VEG-DIST-STATUS,20231003,255,255,10,0,17,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20231004T141514Z_20231221T044639Z_L9_30_v1_VEG-DIST-STATUS,20231004,11,0,10,0,19,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20231004T141709Z_20231221T044650Z_S2B_30_v1_VEG-DIST-STATUS,20231004,10,0,10,0,19,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20231007T142709Z_20231221T044702Z_S2B_30_v1_VEG-DIST-STATUS,20231007,255,255,10,0,17,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20231009T141711Z_20231221T044713Z_S2A_30_v1_VEG-DIST-STATUS,20231009,11,0,10,0,19,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20231011T142130Z_20231221T044725Z_L9_30_v1_VEG-DIST-STATUS,20231011,13,0,10,0,18,0
OPERA_L3_DIST-ALERT-HLS_T19HFC_20231012T141518Z_20231221T044736Z_L8_30_v1_VEG-DIST-STATUS,20231012,13,0,10,0,18,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20231012T142711Z_20231221T044747Z_S2A_30_v1_VEG-DIST-STATUS,20231012,255,255,10,0,18,-1
